grain_id,class,class_frac,area_px,equiv_diam_px,centroid_row,centroid_col,bbox_r0,bbox_c0,bbox_r1,bbox_c1,major_px,minor_px,solidity,frac_Monazite & Xenotime,frac_Zircon,frac_Rutile,frac_Ilmenite,frac_Iron Oxides,frac_Biotite,frac_Quartz,frac_Chromite,frac_Orthoclase,frac_Carpholite,frac_Garnet-Spessartine,frac_Pseudobrookite,frac_Illite,frac_Calderite,frac_Topaz,frac_Tourmaline,frac_Unknown
2840,Rutile,1.0,757,31.045810270703488,2165.2919418758256,2016.5838837516512,2148,1998,2183,2036,39.48459231640615,26.486218435479984,0.8201516793066089,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2841,Zircon,1.0,818,32.27243324562564,2165.161369193154,1226.4779951100245,2143,1211,2183,1243,37.57129397255116,29.384773677263805,0.8920392584514721,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2842,Zircon,1.0,665,29.098183744847088,2166.612030075188,1959.3443609022556,2152,1945,2181,1974,30.83753703047889,28.37600696458207,0.9248956884561892,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2843,Rutile,1.0,188,15.471555655790098,2163.2872340425533,1137.6702127659576,2155,1127,2170,1147,20.985928650656852,12.840210900231838,0.8744186046511628,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2844,Ilmenite,1.0,193,15.67594437773643,2162.2279792746112,1124.7668393782383,2154,1115,2172,1135,21.654336699204833,12.331336604112403,0.8391304347826087,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2845,Zircon,1.0,1994,50.38689960894512,2167.5656970912737,1389.7833500501504,2152,1355,2187,1428,74.75443812142035,35.567403433339344,0.9274418604651162,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2846,Rutile,0.8923976608187134,855,32.99423905394037,2166.8830409356724,2804.6105263157897,2150,2782,2182,2829,48.48987068938288,27.948741434763765,0.7566371681415929,0.0,0.0,0.8923976608187134,0.10760233918128655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2847,Zircon,1.0,808,32.07456238432586,2170.7264851485147,55.03465346534654,2153,36,2190,77,37.954978035674586,32.720924621252976,0.7593984962406015,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2848,Rutile,1.0,113,11.994835078277376,2170.433628318584,2082.8230088495575,2162,2077,2177,2090,15.79578761067007,12.07686218434085,0.7533333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2849,Illite,1.0,1637,45.654059345598846,2176.610262675626,1616.5791081246182,2155,1591,2204,1640,54.89032231224228,40.32757301482556,0.8512740509620385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2851,Quartz,1.0,1010,35.86045091995518,2179.977227722772,2841.4554455445545,2160,2820,2208,2865,56.78325149782966,24.224905632276485,0.8684436801375752,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2852,Illite,1.0,133,13.013103375051497,2177.0225563909776,25.894736842105264,2170,20,2185,33,15.813602015942102,11.465550620215984,0.8209876543209876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2853,Zircon,1.0,3441,66.19076426083699,2177.855274629468,236.33188026736414,2152,189,2215,289,100.33569239500855,51.16335487045745,0.8075569115231166,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2854,Quartz,1.0,233,17.22396045987371,2175.218884120172,486.4334763948498,2168,474,2185,498,23.437844270767044,13.048343577594077,0.9246031746031746,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2855,Zircon,1.0,922,34.262616074167774,2175.4989154013015,3111.7039045553147,2161,3090,2192,3131,41.31229393219051,29.37077005017334,0.9544513457556936,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2856,Zircon,1.0,183,15.26443044094783,2179.4535519125684,2663.224043715847,2171,2655,2189,2670,18.257996968225484,13.654368469713436,0.8755980861244019,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2857,Rutile,0.8612244897959184,735,30.591356056578213,2177.7115646258503,1086.3115646258505,2160,1071,2200,1101,39.93194347050829,25.29839268005671,0.8516801853997682,0.0,0.0,0.8612244897959184,0.13877551020408163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2859,Rutile,1.0,691,29.661566469288122,2183.0940665701883,1342.2633863965268,2167,1329,2200,1355,33.95098641134057,27.364733239818555,0.9009126466753585,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2860,Rutile,1.0,859,33.0713285026094,2183.6717112922,1664.1210710128055,2166,1641,2202,1684,41.894315228767084,31.481271020549197,0.7608503100088574,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2861,Rutile,1.0,918,34.18821291127805,2180.7952069716775,737.7886710239651,2163,722,2201,757,37.86778702589392,31.37363916652819,0.9291497975708503,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2862,Monazite & Xenotime,1.0,845,32.80072278626208,2189.9562130177515,171.596449704142,2167,154,2216,188,52.634328676518486,27.936858191133865,0.6765412329863891,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2863,Rutile,1.0,216,16.583719174624104,2183.587962962963,139.33796296296296,2174,131,2193,151,21.876621008593922,14.015174385440346,0.7941176470588235,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
