object_id,kind,area_px,equiv_diam,major,minor,orientation,eccentricity,solidity,perimeter,circularity,ppl_r_mean,ppl_r_std,ppl_r_p10,ppl_r_p90,ppl_g_mean,ppl_g_std,ppl_g_p10,ppl_g_p90,ppl_b_mean,ppl_b_std,ppl_b_p10,ppl_b_p90,xpl_r_mean,xpl_r_std,xpl_r_p10,xpl_r_p90,xpl_g_mean,xpl_g_std,xpl_g_p10,xpl_g_p90,xpl_b_mean,xpl_b_std,xpl_b_p10,xpl_b_p90
523,grain,125.0,12.6156626101008,15.157209973790536,10.958471873871131,-0.06195162769079284,0.6908612127450394,0.9541984732824428,42.72792206135785,0.8603919362986123,154.95697021484375,15.565589904785156,135.59423828125,174.2368621826172,189.85951232910156,12.163834571838379,170.2690887451172,202.3562774658203,197.1602325439453,7.690436363220215,184.5875701904297,206.1515350341797,19.392000198364258,11.230598449707031,12.0,31.199996948242188,28.576000213623047,15.520960807800293,18.0,47.399993896484375,34.040000915527344,15.645779609680176,22.0,50.79999542236328
524,grain,4144.0,72.63817641834433,97.65336807071944,55.22943860420336,-0.13249215623673458,0.8247029400684336,0.9535204786010124,274.84671708797583,0.6893638461174132,137.03839111328125,29.007556915283203,98.33169555664062,173.37429809570312,118.48151397705078,27.44986343383789,81.08052062988281,152.6728973388672,93.44774627685547,24.311363220214844,61.241668701171875,125.07101440429688,108.21428680419922,45.75659942626953,51.0,172.699951171875,103.90251159667969,39.45346450805664,56.0,160.0,83.26182556152344,27.48680305480957,51.0,121.0
525,grain,2681.0,58.42563837421865,76.92452240920778,45.75865540028496,0.9639243365662887,0.8038357299399647,0.9328462073764787,223.78174593052023,0.6727556631602654,186.97190856933594,23.898849487304688,155.2605743408203,212.189453125,184.53512573242188,23.574214935302734,150.94776916503906,208.7392120361328,176.4989471435547,28.20462417602539,133.6966094970703,207.01409912109375,241.06414794921875,32.41732406616211,208.0,255.0,241.65721130371094,30.847604751586914,212.0,255.0,232.315185546875,32.45253372192383,176.0,255.0
526,grain,58.0,8.593479713983122,15.904762836811011,5.041963569042245,0.20696644650302418,0.9484223063019461,0.8169014084507042,34.071067811865476,0.6278651353171107,193.8972625732422,13.205066680908203,171.64918518066406,207.27285766601562,187.84446716308594,13.175193786621094,169.06150817871094,202.96006774902344,187.30908203125,14.497926712036133,165.4387664794922,204.42642211914062,196.12069702148438,28.43448257446289,147.6999969482422,228.3000030517578,209.58621215820312,22.567167282104492,172.6999969482422,237.0,218.87930297851562,20.456073760986328,185.60000610351562,242.3000030517578
527,grain,9.0,3.385137501286538,3.265986323710904,3.265986323710904,-0.7853981633974483,0.0,1.0,8.0,1.7671458676442586,209.79344177246094,2.1430439949035645,206.84158325195312,212.36196899414062,208.260009765625,2.1938750743865967,205.63400268554688,210.46432495117188,206.05569458007812,2.521156072616577,202.52877807617188,209.60177612304688,241.88888549804688,3.81355619430542,238.0,246.1999969482422,247.55555725097656,3.2697641849517822,243.39999389648438,251.0,247.55555725097656,2.671292304992676,244.60000610351562,250.39999389648438
528,grain,490.0,24.977737626138797,29.921903571246162,20.982851407446965,0.9945655901453233,0.7129116183491101,0.953307392996109,86.52691193458118,0.8224386948249548,179.43508911132812,16.533004760742188,155.2605743408203,198.3885040283203,178.1905517578125,17.268726348876953,152.6728973388672,196.74961853027344,175.0166778564453,18.590314865112305,147.49754333496094,196.66339111328125,136.22244262695312,72.97634887695312,28.0,222.0999755859375,139.4081573486328,64.79695892333984,37.900001525878906,215.0,136.8836669921875,56.26686096191406,46.900001525878906,202.0
529,grain,73.0,9.640875829802336,13.155132326944194,7.229769824252142,-0.14474271239257036,0.8354424853857915,0.9240506329113924,33.071067811865476,0.8387572526891778,128.6630401611328,26.72388458251953,90.74117279052734,158.5382843017578,128.58033752441406,22.64691162109375,99.19425201416016,158.88330078125,130.47085571289062,22.537153244018555,98.33169555664062,158.71080017089844,59.60274124145508,32.781864166259766,17.0,107.0,80.0,41.67683792114258,22.200000762939453,136.79998779296875,83.5753402709961,37.175968170166016,32.400001525878906,137.7999725341797
530,grain,736.0,30.612159429303247,36.16049626755573,26.738668730474213,0.6673376980203343,0.6732178664342515,0.9460154241645244,109.35533905932736,0.7734062822081545,47.45713806152344,26.167951583862305,18.113733291625977,86.25587463378906,82.78923034667969,31.237150192260742,45.284332275390625,126.79613494873047,98.51568603515625,28.87786102294922,62.10422897338867,138.0093994140625,21.69565200805664,11.245640754699707,11.0,36.0,40.00679397583008,16.75336456298828,24.0,61.0,50.24592208862305,15.222288131713867,37.0,68.0
531,grain,2694.0,58.567118193714535,66.49724722781681,52.09245600767175,1.1845013952173193,0.6215460458404055,0.9715109989181392,203.39696961967,0.8183112072120032,181.44085693359375,31.463319778442383,133.6966094970703,211.32688903808594,162.9867706298828,36.7313232421875,108.6823959350586,203.56385803222656,127.70350646972656,36.41132736206055,77.63028717041016,175.09942626953125,20.15850067138672,7.152836322784424,13.0,30.0,20.19747543334961,6.962540149688721,13.0,29.0,20.02227210998535,7.786275386810303,13.0,28.0
532,grain,605.0,27.754457742221764,28.814836433071886,26.997018523076335,0.43028734275101893,0.34956042507498924,0.9557661927330173,93.94112549695427,0.8614969028454433,199.60464477539062,15.823882102966309,178.54965209960938,213.91456604003906,198.19033813476562,14.616881370544434,178.54965209960938,211.32688903808594,194.86270141601562,16.1376953125,173.37429809570312,209.60177612304688,251.51901245117188,10.067132949829102,246.0,255.0,251.4760284423828,11.594306945800781,247.0,255.0,249.62313842773438,15.266020774841309,240.0,255.0
